x,y,yaw,curvature,speed
3.144121,-13.806825,-0.983908,0.023595,4.0
3.219381,-13.9196,-0.981428,0.013024,4.0
3.29562,-14.033403,-0.97973,0.011768,4.0
3.37288,-14.148327,-0.977868,0.015043,4.0
3.451455,-14.264679,-0.975138,0.02412,4.0
3.530225,-14.380474,-0.970842,0.037022,4.0
3.609904,-14.496307,-0.966553,0.024331,4.0
3.689356,-14.61097,-0.963371,0.021244,4.0
3.768593,-14.724605,-0.961951,0.000899,4.0
3.847093,-14.837213,-0.960161,0.027091,4.0
3.9257,-14.949087,-0.956481,0.026678,4.0
4.00455,-15.060442,-0.954465,0.00284,3.888
4.08299,-15.171127,-0.954792,0.007734,3.677
4.160716,-15.281049,-0.955752,0.006454,3.389
4.238558,-15.391338,-0.95519,0.014811,3.088
4.316359,-15.501101,-0.953728,0.006919,2.749
4.393832,-15.610189,-0.952626,0.009564,2.398
4.471038,-15.718607,-0.951413,0.008705,2.046
4.547453,-15.825653,-0.953798,0.045751,1.801
4.622099,-15.931552,-0.961754,0.077947,1.65
4.694202,-16.036047,-0.971984,0.083024,1.576
4.76399,-16.139483,-0.986087,0.145251,1.515
4.830201,-16.241508,-1.009007,0.235049,1.491
4.891578,-16.342182,-1.045273,0.382386,1.48
4.946968,-16.44286,-1.091449,0.418587,1.47
4.996612,-16.544255,-1.147175,0.566896,1.464
5.039255,-16.647522,-1.214266,0.629988,1.464
5.074427,-16.753185,-1.284872,0.635416,1.469
5.10205,-16.861124,-1.357706,0.664179,1.451
5.121798,-16.972114,-1.434879,0.699418,1.417
5.132858,-17.086398,-1.514006,0.670318,1.384
5.135025,-17.204777,-1.59222,0.643569,1.351
5.127682,-17.32797,-1.666644,0.567053,1.318
5.110974,-17.454934,-1.736813,0.529228,1.285
5.084585,-17.585176,-1.803423,0.483463,1.247
5.049175,-17.715784,-1.866754,0.453273,1.232
5.005009,-17.846156,-1.927706,0.430731,1.232
4.952014,-17.976352,-2.005746,0.664194,1.235
4.884541,-18.105437,-2.115957,0.840795,1.245
4.798495,-18.229489,-2.254354,0.98828,1.269
4.691274,-18.342701,-2.405378,0.95075,1.314
4.564711,-18.441338,-2.553703,0.887607,1.384
4.419604,-18.52377,-2.692721,0.76487,1.472
4.255554,-18.590247,-2.816097,0.628552,1.572
4.073161,-18.640694,-2.923287,0.506713,1.667
